Status,FPKM,Type
No Cleaning,31.10054861,K27M
XenoCP Cleansed,28.34062508,K27M
No Cleaning,27.6263994,K27M
XenoCP Cleansed,25.45029439,K27M
No Cleaning,32.91663559,K27M
XenoCP Cleansed,30.29812231,K27M
No Cleaning,33.16833934,K27M
XenoCP Cleansed,30.54123424,K27M
No Cleaning,34.2644228,K27M
XenoCP Cleansed,30.58144043,K27M
No Cleaning,28.90783805,shK27M
XenoCP Cleansed,6.032045068,shK27M
No Cleaning,11.58268621,shK27M
XenoCP Cleansed,5.582410918,shK27M
No Cleaning,15.0972617,shK27M
XenoCP Cleansed,6.46026679,shK27M
No Cleaning,39.16393644,shK27M
XenoCP Cleansed,10.07338183,shK27M